"Datum","Umsatz","Warentyp","Temperatur","Wochentag","KielerWoche","Jahr","Monat","Tag","Ferienname","Feiertag"
2013-07-29,183.564164400591,"Brot",22.7875,"Montag",0,"2013","7","29","Sommerferien","0"
2013-07-30,132.111640117897,"Brot",21.075,"Dienstag",0,"2013","7","30","Sommerferien","0"
2013-07-31,144.745431773143,"Brot",20.275,"Mittwoch",0,"2013","7","31","Sommerferien","0"
2013-08-01,157.854023011106,"Brot",23.4,"Donnerstag",0,"2013","8","1","Sommerferien","0"
2013-08-02,117.359342094889,"Brot",31.4375,"Freitag",0,"2013","8","2","Sommerferien","0"
2013-08-03,186.027178770079,"Brot",23.3625,"Samstag",0,"2013","8","3","0","0"
2013-08-04,104.708216687715,"Brot",23.05,"Sonntag",0,"2013","8","4","0","0"
2013-08-05,146.775309890073,"Brot",25.8,"Montag",0,"2013","8","5","0","0"
2013-08-06,131.956277381283,"Brot",22.225,"Dienstag",0,"2013","8","6","0","0"
2013-08-07,160.593417296116,"Brot",19.2125,"Mittwoch",0,"2013","8","7","0","0"
2013-08-08,153.099424561652,"Brot",16.975,"Donnerstag",0,"2013","8","8","0","0"
2013-08-09,125.620344387906,"Brot",20.3375,"Freitag",0,"2013","8","9","0","0"
2013-08-10,185.177162656408,"Brot",19.3625,"Samstag",0,"2013","8","10","0","0"
2013-08-11,73.2088330039992,"Brot",16.3875,"Sonntag",0,"2013","8","11","0","0"
2013-08-12,154.504729536697,"Brot",16.45,"Montag",0,"2013","8","12","0","0"
2013-08-13,134.064451548102,"Brot",16.4,"Dienstag",0,"2013","8","13","0","0"
2013-08-14,156.972510536869,"Brot",18.2625,"Mittwoch",0,"2013","8","14","0","0"
2013-08-15,164.763795399756,"Brot",19.8,"Donnerstag",0,"2013","8","15","0","0"
2013-08-16,147.79799759804,"Brot",23.575,"Freitag",0,"2013","8","16","0","0"
2013-08-17,221.630418006017,"Brot",20.55,"Samstag",0,"2013","8","17","0","0"
2013-08-18,92.489778506026,"Brot",18.5875,"Sonntag",0,"2013","8","18","0","0"
2013-08-19,145.87913275728,"Brot",18.4875,"Montag",0,"2013","8","19","0","0"
2013-08-20,111.842396126739,"Brot",17.775,"Dienstag",0,"2013","8","20","0","0"
2013-08-21,125.336522713024,"Brot",20.125,"Mittwoch",0,"2013","8","21","0","0"
2013-08-22,132.916428220302,"Brot",21.6625,"Donnerstag",0,"2013","8","22","0","0"
2013-08-23,162.958958703106,"Brot",22.0375,"Freitag",0,"2013","8","23","0","0"
2013-08-24,201.543109556297,"Brot",20.85,"Samstag",0,"2013","8","24","0","0"
2013-08-25,83.0226725739551,"Brot",21.3875,"Sonntag",0,"2013","8","25","0","0"
2013-08-26,165.829031676714,"Brot",20.125,"Montag",0,"2013","8","26","0","0"
2013-08-27,118.473650434102,"Brot",21.0875,"Dienstag",0,"2013","8","27","0","0"
2013-08-28,108.876991442649,"Brot",21.3,"Mittwoch",0,"2013","8","28","0","0"
2013-08-29,178.178023803315,"Brot",20.2125,"Donnerstag",0,"2013","8","29","0","0"
2013-08-30,133.150828452892,"Brot",19.7875,"Freitag",0,"2013","8","30","0","0"
2013-08-31,130.821314898435,"Brot",18.35,"Samstag",0,"2013","8","31","0","0"
2013-09-01,95.9704314892471,"Brot",15.8625,"Sonntag",0,"2013","9","1","0","0"
2013-09-02,138.408723210465,"Brot",16.575,"Montag",0,"2013","9","2","0","0"
2013-09-03,138.825618927843,"Brot",18.225,"Dienstag",0,"2013","9","3","0","0"
2013-09-04,100.221969526295,"Brot",18.125,"Mittwoch",0,"2013","9","4","0","0"
2013-09-05,173.658100347255,"Brot",21.7,"Donnerstag",0,"2013","9","5","0","0"
2013-09-06,171.415179710314,"Brot",24.7,"Freitag",0,"2013","9","6","0","0"
2013-09-07,186.034060963767,"Brot",22.7625,"Samstag",0,"2013","9","7","0","0"
2013-09-08,88.8925958109828,"Brot",20.1625,"Sonntag",0,"2013","9","8","0","0"
2013-09-09,169.359968504942,"Brot",11.575,"Montag",0,"2013","9","9","0","0"
2013-09-10,89.6944536084346,"Brot",13.5875,"Dienstag",0,"2013","9","10","0","0"
2013-09-11,103.363686559795,"Brot",13.9,"Mittwoch",0,"2013","9","11","0","0"
2013-09-12,106.474399987548,"Brot",16.1125,"Donnerstag",0,"2013","9","12","0","0"
2013-09-13,122.564626199915,"Brot",17.4375,"Freitag",0,"2013","9","13","0","0"
2013-09-14,174.938807466572,"Brot",17.625,"Samstag",0,"2013","9","14","0","0"
2013-09-15,55.1960062296304,"Brot",14.8625,"Sonntag",0,"2013","9","15","0","0"
2013-09-16,146.760234890658,"Brot",13.1375,"Montag",0,"2013","9","16","0","0"
2013-09-17,136.118044538363,"Brot",13.1375,"Dienstag",0,"2013","9","17","0","0"
2013-09-18,152.255085210606,"Brot",13.05,"Mittwoch",0,"2013","9","18","0","0"
2013-09-19,148.674992078993,"Brot",14.8375,"Donnerstag",0,"2013","9","19","0","0"
2013-09-20,110.159250328825,"Brot",13.525,"Freitag",0,"2013","9","20","0","0"
2013-09-21,178.263887943827,"Brot",15.35,"Samstag",0,"2013","9","21","0","0"
2013-09-22,86.6668973821597,"Brot",17.1375,"Sonntag",0,"2013","9","22","0","0"
2013-09-23,111.128410563554,"Brot",17.3125,"Montag",0,"2013","9","23","0","0"
2013-09-24,139.64144576808,"Brot",15.7375,"Dienstag",0,"2013","9","24","0","0"
2013-09-25,117.94119333604,"Brot",13.5375,"Mittwoch",0,"2013","9","25","0","0"
2013-09-26,203.314345156607,"Brot",12.9875,"Donnerstag",0,"2013","9","26","0","0"
2013-09-27,135.507291692088,"Brot",13.0125,"Freitag",0,"2013","9","27","0","0"
2013-09-28,134.613756840197,"Brot",13.1,"Samstag",0,"2013","9","28","0","0"
2013-09-29,68.6316896995448,"Brot",14.175,"Sonntag",0,"2013","9","29","0","0"
2013-09-30,156.502435955326,"Brot",12.825,"Montag",0,"2013","9","30","0","0"
2013-10-01,123.397540137977,"Brot",12.9125,"Dienstag",0,"2013","10","1","0","0"
2013-10-02,196.720969158391,"Brot",12.7,"Mittwoch",0,"2013","10","2","0","0"
2013-10-03,75.2337302417469,"Brot",11.7625,"Donnerstag",0,"2013","10","3","0","0"
2013-10-04,156.066122625816,"Brot",11.2,"Freitag",0,"2013","10","4","Herbstferien","0"
2013-10-05,152.280762053885,"Brot",15.575,"Samstag",0,"2013","10","5","Herbstferien","0"
2013-10-06,92.4805772695364,"Brot",15.25,"Sonntag",0,"2013","10","6","Herbstferien","0"
2013-10-07,124.841544023845,"Brot",16.275,"Montag",0,"2013","10","7","Herbstferien","0"
2013-10-08,96.867100978839,"Brot",15.1125,"Dienstag",0,"2013","10","8","Herbstferien","0"
2013-10-09,149.761758936995,"Brot",14.3125,"Mittwoch",0,"2013","10","9","Herbstferien","0"
2013-10-10,119.300284972145,"Brot",10.975,"Donnerstag",0,"2013","10","10","Herbstferien","0"
2013-10-11,123.2348187168,"Brot",13.8625,"Freitag",0,"2013","10","11","Herbstferien","0"
2013-10-12,140.262421715801,"Brot",13.025,"Samstag",0,"2013","10","12","Herbstferien","0"
2013-10-13,42.9967926268111,"Brot",10.8625,"Sonntag",0,"2013","10","13","Herbstferien","0"
2013-10-14,109.863744271226,"Brot",12.525,"Montag",0,"2013","10","14","Herbstferien","0"
2013-10-15,130.431802598324,"Brot",10.6625,"Dienstag",0,"2013","10","15","Herbstferien","0"
2013-10-16,146.070583461057,"Brot",12.275,"Mittwoch",0,"2013","10","16","Herbstferien","0"
2013-10-17,89.9411837855476,"Brot",12,"Donnerstag",0,"2013","10","17","Herbstferien","0"
2013-10-18,111.233698203856,"Brot",9.075,"Freitag",0,"2013","10","18","0","0"
2013-10-19,121.590860465012,"Brot",9.45,"Samstag",0,"2013","10","19","0","0"
2013-10-20,70.1419855298474,"Brot",15.1875,"Sonntag",0,"2013","10","20","0","0"
2013-10-21,122.987868193302,"Brot",14.2625,"Montag",0,"2013","10","21","0","0"
2013-10-22,111.927088663048,"Brot",17.6375,"Dienstag",0,"2013","10","22","0","0"
2013-10-23,125.816016210178,"Brot",17.675,"Mittwoch",0,"2013","10","23","0","0"
2013-10-24,123.163406361057,"Brot",12.6875,"Donnerstag",0,"2013","10","24","0","0"
2013-10-25,113.661858634409,"Brot",11.8875,"Freitag",0,"2013","10","25","0","0"
2013-10-26,161.678805315967,"Brot",16.775,"Samstag",0,"2013","10","26","0","0"
2013-10-27,102.355195816072,"Brot",14.9875,"Sonntag",0,"2013","10","27","0","0"
2013-10-28,129.482192717092,"Brot",14.3625,"Montag",0,"2013","10","28","0","0"
2013-10-29,112.285893935052,"Brot",10.775,"Dienstag",0,"2013","10","29","0","0"
2013-10-30,121.506077008915,"Brot",10.4375,"Mittwoch",0,"2013","10","30","0","0"
2013-10-31,133.723541287582,"Brot",11.1625,"Donnerstag",0,"2013","10","31","0","0"
2013-11-01,100.182160485504,"Brot",10.625,"Freitag",0,"2013","11","1","0","0"
2013-11-02,149.172348030766,"Brot",8.8875,"Samstag",0,"2013","11","2","0","0"
2013-11-03,97.4532740046654,"Brot",10.7,"Sonntag",0,"2013","11","3","0","0"
2013-11-04,137.864260444157,"Brot",6.8375,"Montag",0,"2013","11","4","0","0"
2013-11-05,103.700267261952,"Brot",8.9,"Dienstag",0,"2013","11","5","0","0"
2013-11-06,109.097001107423,"Brot",8.1375,"Mittwoch",0,"2013","11","6","0","0"
2013-11-07,118.470603286455,"Brot",9.5,"Donnerstag",0,"2013","11","7","0","0"
2013-11-08,132.796244239256,"Brot",9.325,"Freitag",0,"2013","11","8","0","0"
2013-11-09,99.9317959514759,"Brot",7.7,"Samstag",0,"2013","11","9","0","0"
2013-11-10,108.561660295105,"Brot",6.9875,"Sonntag",0,"2013","11","10","0","0"
2013-11-11,124.580485617569,"Brot",8.3125,"Montag",0,"2013","11","11","0","0"
2013-11-12,111.970870543294,"Brot",5.9375,"Dienstag",0,"2013","11","12","0","0"
2013-11-13,78.0382483442215,"Brot",8.8,"Mittwoch",0,"2013","11","13","0","0"
2013-11-14,121.180219705286,"Brot",6.9375,"Donnerstag",0,"2013","11","14","0","0"
2013-11-15,122.76929773359,"Brot",6.45,"Freitag",0,"2013","11","15","0","0"
2013-11-16,126.793397398979,"Brot",8.875,"Samstag",0,"2013","11","16","0","0"
2013-11-17,74.3945185864517,"Brot",8.8875,"Sonntag",0,"2013","11","17","0","0"
2013-11-18,129.109032642028,"Brot",6.65,"Montag",0,"2013","11","18","0","0"
2013-11-19,106.906118646237,"Brot",5.8375,"Dienstag",0,"2013","11","19","0","0"
2013-11-20,124.324612351715,"Brot",3.85,"Mittwoch",0,"2013","11","20","0","0"
2013-11-21,144.359927455555,"Brot",3.275,"Donnerstag",0,"2013","11","21","0","0"
2013-11-22,107.962731413831,"Brot",5.375,"Freitag",0,"2013","11","22","0","0"
2013-11-23,96.5196766761341,"Brot",4.9125,"Samstag",0,"2013","11","23","0","0"
2013-11-24,76.4120061231823,"Brot",4.6,"Sonntag",0,"2013","11","24","0","0"
2013-11-25,129.81992805086,"Brot",3.7,"Montag",0,"2013","11","25","0","0"
2013-11-26,123.431703158233,"Brot",2.3125,"Dienstag",0,"2013","11","26","0","0"
2013-11-27,93.5321454303922,"Brot",7.3125,"Mittwoch",0,"2013","11","27","0","0"
2013-11-28,128.842426194061,"Brot",8.025,"Donnerstag",0,"2013","11","28","0","0"
2013-11-29,104.966463375073,"Brot",5.9875,"Freitag",0,"2013","11","29","0","0"
2013-11-30,104.09003869481,"Brot",5.525,"Samstag",0,"2013","11","30","0","0"
2013-12-01,68.0762231823542,"Brot",8.6625,"Sonntag",0,"2013","12","1","0","0"
2013-12-02,113.931498716313,"Brot",3.0625,"Montag",0,"2013","12","2","0","0"
2013-12-03,94.7658652080226,"Brot",1.7125,"Dienstag",0,"2013","12","3","0","0"
2013-12-04,128.922855106228,"Brot",5.85,"Mittwoch",0,"2013","12","4","0","0"
2013-12-05,120.974699669869,"Brot",4.4625,"Donnerstag",0,"2013","12","5","0","0"
2013-12-06,112.015650593347,"Brot",1.7875,"Freitag",0,"2013","12","6","0","0"
2013-12-07,121.408564819885,"Brot",1,"Samstag",0,"2013","12","7","0","0"
2013-12-08,36.2650169585334,"Brot",6.975,"Sonntag",0,"2013","12","8","0","0"
2013-12-09,134.680550018524,"Brot",9.2375,"Montag",0,"2013","12","9","0","0"
2013-12-10,104.352034970751,"Brot",7.1875,"Dienstag",0,"2013","12","10","0","0"
2013-12-11,85.9079819233536,"Brot",5.025,"Mittwoch",0,"2013","12","11","0","0"
2013-12-12,88.2075449690532,"Brot",2.525,"Donnerstag",0,"2013","12","12","0","0"
2013-12-13,85.5324935340658,"Brot",3.5375,"Freitag",0,"2013","12","13","0","0"
2013-12-14,120.787742012371,"Brot",3.0125,"Samstag",0,"2013","12","14","0","0"
2013-12-15,71.5352172710921,"Brot",7.925,"Sonntag",0,"2013","12","15","0","0"
2013-12-16,120.791211521354,"Brot",8.775,"Montag",0,"2013","12","16","0","0"
2013-12-17,74.6283250889016,"Brot",4.95,"Dienstag",0,"2013","12","17","0","0"
2013-12-18,86.4115250991858,"Brot",6.85,"Mittwoch",0,"2013","12","18","0","0"
2013-12-19,101.589644453608,"Brot",7.4,"Donnerstag",0,"2013","12","19","0","0"
2013-12-20,114.601001275823,"Brot",5.2875,"Freitag",0,"2013","12","20","0","0"
2013-12-21,124.541759682586,"Brot",6.5625,"Samstag",0,"2013","12","21","0","0"
2013-12-22,41.7300439888931,"Brot",8.1375,"Sonntag",0,"2013","12","22","0","0"
2013-12-23,183.608991270752,"Brot",5.4875,"Montag",0,"2013","12","23","Winterferien","0"
2013-12-24,220.330670230618,"Brot",11.4375,"Dienstag",0,"2013","12","24","Winterferien","0"
2013-12-27,152.367434643543,"Brot",5.7625,"Freitag",0,"2013","12","27","Winterferien","0"
2013-12-29,131.267289010755,"Brot",5.7125,"Sonntag",0,"2013","12","29","Winterferien","0"
2013-12-30,126.58984459848,"Brot",4.75,"Montag",0,"2013","12","30","Winterferien","0"
2013-12-31,211.390838466052,"Brot",5.0375,"Dienstag",0,"2013","12","31","Winterferien","0"
2014-01-02,153.166492227541,"Brot",6.25,"Donnerstag",0,"2014","1","2","Winterferien","0"
2014-01-03,109.484763536521,"Brot",6.8375,"Freitag",0,"2014","1","3","Winterferien","0"
2014-01-04,116.250540066432,"Brot",6.9375,"Samstag",0,"2014","1","4","Winterferien","0"
2014-01-05,67.7899909491401,"Brot",6.1875,"Sonntag",0,"2014","1","5","Winterferien","0"
2014-01-06,146.911067784297,"Brot",7.9125,"Montag",0,"2014","1","6","Winterferien","0"
2014-01-07,147.5457609484,"Brot",10.4375,"Dienstag",0,"2014","1","7","0","0"
2014-01-08,99.9068767897401,"Brot",8.6375,"Mittwoch",0,"2014","1","8","0","0"
2014-01-09,113.541525918277,"Brot",9.6125,"Donnerstag",0,"2014","1","9","0","0"
2014-01-10,119.05554059635,"Brot",6.6375,"Freitag",0,"2014","1","10","0","0"
2014-01-11,127.95986526115,"Brot",5.5875,"Samstag",0,"2014","1","11","0","0"
2014-01-12,83.4017498521773,"Brot",5.525,"Sonntag",0,"2014","1","12","0","0"
2014-01-13,103.994034974792,"Brot",3.1375,"Montag",0,"2014","1","13","0","0"
2014-01-14,166.347532764571,"Brot",4.225,"Dienstag",0,"2014","1","14","0","0"
2014-01-15,139.042567223334,"Brot",3.228571,"Mittwoch",0,"2014","1","15","0","0"
2014-01-16,117.779119691395,"Brot",2.7375,"Donnerstag",0,"2014","1","16","0","0"
2014-01-17,94.7938386484339,"Brot",6.7375,"Freitag",0,"2014","1","17","0","0"
2014-01-18,102.633649837911,"Brot",5.8875,"Samstag",0,"2014","1","18","0","0"
2014-01-19,53.0014671833047,"Brot",2.8625,"Sonntag",0,"2014","1","19","0","0"
2014-01-20,99.6819363621683,"Brot",0.3875,"Montag",0,"2014","1","20","0","0"
2014-01-21,116.784600007305,"Brot",-0.65,"Dienstag",0,"2014","1","21","0","0"
2014-01-22,102.344424741026,"Brot",-3.1125,"Mittwoch",0,"2014","1","22","0","0"
2014-01-23,105.740276056438,"Brot",-3.1875,"Donnerstag",0,"2014","1","23","0","0"
2014-01-24,143.164448746188,"Brot",-5.1625,"Freitag",0,"2014","1","24","0","0"
2014-01-25,129.09233380561,"Brot",-7.0375,"Samstag",0,"2014","1","25","0","0"
2014-01-26,65.4883238458282,"Brot",-8.475,"Sonntag",0,"2014","1","26","0","0"
2014-01-27,177.797639286942,"Brot",0.7,"Montag",0,"2014","1","27","0","0"
2014-01-28,63.9844736113181,"Brot",-0.2625,"Dienstag",0,"2014","1","28","0","0"
2014-01-29,75.1156293987916,"Brot",-5.05,"Mittwoch",0,"2014","1","29","0","0"
2014-01-30,140.794194214435,"Brot",-4.4875,"Donnerstag",0,"2014","1","30","0","0"
2014-01-31,133.303478983532,"Brot",-3.6875,"Freitag",0,"2014","1","31","0","0"
2014-02-01,101.932146850505,"Brot",3.225,"Samstag",0,"2014","2","1","0","0"
2014-02-02,76.7574943519772,"Brot",5.4875,"Sonntag",0,"2014","2","2","0","0"
2014-02-03,154.323103655617,"Brot",3.475,"Montag",0,"2014","2","3","0","0"
2014-02-04,130.284962020954,"Brot",3.925,"Dienstag",0,"2014","2","4","0","0"
2014-02-05,128.512982776585,"Brot",3.675,"Mittwoch",0,"2014","2","5","0","0"
2014-02-06,93.2145715747619,"Brot",7.875,"Donnerstag",0,"2014","2","6","0","0"
2014-02-07,99.7607356052368,"Brot",8.475,"Freitag",0,"2014","2","7","0","0"
2014-02-08,120.862739831777,"Brot",6.2875,"Samstag",0,"2014","2","8","0","0"
2014-02-09,57.0074894928223,"Brot",6.7125,"Sonntag",0,"2014","2","9","0","0"
2014-02-10,154.183743327497,"Brot",6.6375,"Montag",0,"2014","2","10","0","0"
2014-02-11,93.6050031862626,"Brot",4.925,"Dienstag",0,"2014","2","11","0","0"
2014-02-12,165.738384661521,"Brot",6.1,"Mittwoch",0,"2014","2","12","0","0"
2014-02-13,112.481302733138,"Brot",7.45,"Donnerstag",0,"2014","2","13","0","0"
2014-02-14,127.922310495651,"Brot",5.2125,"Freitag",0,"2014","2","14","0","0"
2014-02-15,169.517528839106,"Brot",11.5,"Samstag",0,"2014","2","15","0","0"
2014-02-16,66.1488570531461,"Brot",6.0625,"Sonntag",0,"2014","2","16","0","0"
2014-02-17,139.563931976797,"Brot",6.6875,"Montag",0,"2014","2","17","0","0"
2014-02-18,101.128808084497,"Brot",7.8,"Dienstag",0,"2014","2","18","0","0"
2014-02-19,139.712963296062,"Brot",6.325,"Mittwoch",0,"2014","2","19","0","0"
2014-02-20,115.493305434483,"Brot",9.1,"Donnerstag",0,"2014","2","20","0","0"
2014-02-21,195.749507104036,"Brot",7.5125,"Freitag",0,"2014","2","21","0","0"
2014-02-22,138.333592943018,"Brot",5.925,"Samstag",0,"2014","2","22","0","0"
2014-02-23,79.4422222430818,"Brot",8.625,"Sonntag",0,"2014","2","23","0","0"
2014-02-24,152.556733984074,"Brot",9.4125,"Montag",0,"2014","2","24","0","0"
2014-02-25,115.741936459404,"Brot",10.475,"Dienstag",0,"2014","2","25","0","0"
2014-02-26,95.0173566075507,"Brot",10.1875,"Mittwoch",0,"2014","2","26","0","0"
2014-02-27,142.599019478366,"Brot",8.8875,"Donnerstag",0,"2014","2","27","0","0"
2014-02-28,121.868073185287,"Brot",6.1875,"Freitag",0,"2014","2","28","0","0"
2014-03-01,140.96854447309,"Brot",5.075,"Samstag",0,"2014","3","1","0","0"
2014-03-02,78.304687930775,"Brot",6.5625,"Sonntag",0,"2014","3","2","0","0"
2014-03-03,123.816845981151,"Brot",9.1875,"Montag",0,"2014","3","3","0","0"
2014-03-04,110.664379295042,"Brot",6.6875,"Dienstag",0,"2014","3","4","0","0"
2014-03-05,104.010771805795,"Brot",4.6875,"Mittwoch",0,"2014","3","5","0","0"
2014-03-06,119.64957040592,"Brot",8.925,"Donnerstag",0,"2014","3","6","0","0"
2014-03-07,115.297355656246,"Brot",11.275,"Freitag",0,"2014","3","7","0","0"
2014-03-08,116.679903321343,"Brot",9.9375,"Samstag",0,"2014","3","8","0","0"
2014-03-09,92.618539664325,"Brot",16.4,"Sonntag",0,"2014","3","9","0","0"
2014-03-10,150.516891177572,"Brot",15.8,"Montag",0,"2014","3","10","0","0"
2014-03-11,151.221168841794,"Brot",7.85,"Dienstag",0,"2014","3","11","0","0"
2014-03-12,91.0474158512995,"Brot",10.2125,"Mittwoch",0,"2014","3","12","0","0"
2014-03-13,141.400369720196,"Brot",13.375,"Donnerstag",0,"2014","3","13","0","0"
2014-03-14,123.912083680615,"Brot",9.6125,"Freitag",0,"2014","3","14","0","0"
2014-03-15,137.683942432828,"Brot",9.0375,"Samstag",0,"2014","3","15","0","0"
2014-03-16,67.1675793738149,"Brot",9.3375,"Sonntag",0,"2014","3","16","0","0"
2014-03-17,141.547905542998,"Brot",9.5875,"Montag",0,"2014","3","17","0","0"
2014-03-18,88.2250444509535,"Brot",9.6875,"Dienstag",0,"2014","3","18","0","0"
2014-03-19,99.6845823880711,"Brot",9.45,"Mittwoch",0,"2014","3","19","0","0"
2014-03-20,128.138232106811,"Brot",16.2625,"Donnerstag",0,"2014","3","20","0","0"
2014-03-21,104.8547456835,"Brot",6.8875,"Freitag",0,"2014","3","21","0","0"
2014-03-22,130.851901605861,"Brot",8.85,"Samstag",0,"2014","3","22","0","0"
2014-03-23,71.128447822127,"Brot",8.3625,"Sonntag",0,"2014","3","23","0","0"
2014-03-24,174.642338237835,"Brot",7.5625,"Montag",0,"2014","3","24","0","0"
2014-03-25,130.828394911681,"Brot",7.725,"Dienstag",0,"2014","3","25","0","0"
2014-03-26,164.073709880608,"Brot",7.85,"Mittwoch",0,"2014","3","26","0","0"
2014-03-27,217.595707302914,"Brot",5.1,"Donnerstag",0,"2014","3","27","0","0"
2014-03-28,210.364589078685,"Brot",5.4,"Freitag",0,"2014","3","28","0","0"
2014-03-29,201.442576014825,"Brot",9.375,"Samstag",0,"2014","3","29","0","0"
2014-03-30,77.0718729480323,"Brot",11.2625,"Sonntag",0,"2014","3","30","0","0"
2014-03-31,165.782083579859,"Brot",7.4375,"Montag",0,"2014","3","31","0","0"
2014-04-01,143.934571968464,"Brot",5.7625,"Dienstag",0,"2014","4","1","0","0"
2014-04-02,145.793768476637,"Brot",12.45,"Mittwoch",0,"2014","4","2","0","0"
2014-04-03,199.334213779063,"Brot",7.6125,"Donnerstag",0,"2014","4","3","0","0"
2014-04-04,149.094869799179,"Brot",6.45,"Freitag",0,"2014","4","4","0","0"
2014-04-05,166.366651532902,"Brot",9.825,"Samstag",0,"2014","4","5","0","0"
2014-04-06,79.4656989548114,"Brot",12.1875,"Sonntag",0,"2014","4","6","0","0"
2014-04-07,175.863088463562,"Brot",15.7875,"Montag",0,"2014","4","7","0","0"
2014-04-08,104.711261779938,"Brot",9.8125,"Dienstag",0,"2014","4","8","0","0"
2014-04-09,168.945582350845,"Brot",10.1875,"Mittwoch",0,"2014","4","9","0","0"
2014-04-10,153.689913112803,"Brot",9.75,"Donnerstag",0,"2014","4","10","0","0"
2014-04-11,150.197974521935,"Brot",12.0625,"Freitag",0,"2014","4","11","0","0"
2014-04-12,230.41912840806,"Brot",11.2,"Samstag",0,"2014","4","12","0","0"
2014-04-13,106.9717520005,"Brot",11.0125,"Sonntag",0,"2014","4","13","0","0"
2014-04-14,126.41212420811,"Brot",8.9,"Montag",0,"2014","4","14","0","0"
2014-04-15,109.472548649702,"Brot",9.9125,"Dienstag",0,"2014","4","15","0","0"
2014-04-16,110.647041867212,"Brot",11.3625,"Mittwoch",0,"2014","4","16","Osterferien","0"
2014-04-17,259.250121969818,"Brot",14.4,"Donnerstag",0,"2014","4","17","Osterferien","0"
2014-04-19,290.428956680919,"Brot",11.125,"Samstag",0,"2014","4","19","Osterferien","0"
2014-04-20,57.7509189177541,"Brot",13.875,"Sonntag",0,"2014","4","20","Osterferien","0"
2014-04-21,109.431179378053,"Brot",13.425,"Montag",0,"2014","4","21","Osterferien","Ostermontag"
2014-04-22,169.196248011103,"Brot",15.45,"Dienstag",0,"2014","4","22","Osterferien","0"
2014-04-23,162.980101956576,"Brot",9.825,"Mittwoch",0,"2014","4","23","Osterferien","0"
2014-04-24,155.338780558714,"Brot",9.175,"Donnerstag",0,"2014","4","24","Osterferien","0"
2014-04-25,103.620395874603,"Brot",13.5625,"Freitag",0,"2014","4","25","Osterferien","0"
2014-04-26,143.988134045973,"Brot",15.45,"Samstag",0,"2014","4","26","Osterferien","0"
2014-04-27,67.5791269771508,"Brot",16.225,"Sonntag",0,"2014","4","27","Osterferien","0"
2014-04-28,142.899118015523,"Brot",15.8875,"Montag",0,"2014","4","28","Osterferien","0"
